,username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Slagernicus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Hq3473,-0.9999998844254199,0.00048077972808161185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,ThatBelligerentSloth,0.9999998642225437,-0.0005127266700062251,9.309272821289135e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Ansuz07,-0.9999998994176093,0.00010685815344362745,-1.4365906655470374e-05,0.0004353616051590541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,getfuckingreal,-0.9999999919480869,9.208219636589534e-08,1.1168332648851786e-07,3.051129290524087e-06,0.00012686408414978276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,yaxamie,-0.9999999869520091,7.47859318388692e-05,-1.5677895641983097e-05,7.020523015419435e-05,1.1309138128178041e-06,0.0001238030544451072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Mintnose,-0.9999999909447775,6.505192900353824e-08,-3.363248678871392e-08,3.2906645842031634e-06,2.9818128704281335e-06,9.84975789093387e-07,0.000134498139716388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,clockworkgirl21,-0.9999999676563092,1.1829814961751212e-05,-2.369756635047868e-05,-3.955954659378359e-06,1.1857901969456137e-05,-8.950624975030147e-06,1.1555024277643576e-05,0.0002522220642891303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Amablue,-0.999999876387198,-5.531921863498695e-05,2.3470809138303733e-05,-0.0003808863447470561,8.306088528442999e-06,1.5079092295469841e-05,9.045176471086942e-06,4.2583141671857604e-05,0.0003104006715433393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Letshavemorefun,0.9999998494052045,-0.00014787126212171793,-5.0538854895904576e-06,-0.00045119943413929185,7.2880810948640574e-06,-9.890143005792035e-05,7.70836031177387e-06,-2.480508366378655e-05,5.042465299660751e-05,0.00025033022481588303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
