username,0,1,2,3,4,5,6,7,8,9,10,11,12,13
ZeusThunder369,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoyotePatronus,-0.9999999985988752,5.293627814194089e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
electronics12345,0.999999995073487,-4.678532759277226e-07,9.926130673484858e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBFProgrammer,-0.9999999953733435,-7.390991592482582e-06,-8.148074304500756e-05,5.0592240258287765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SocialJusticeWizard_,-0.9999999956272269,9.441627928161068e-07,-8.68787930919451e-05,1.776350598084416e-06,3.454815182547005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The_Real_Mongoose,-0.9999999954224051,-2.601648939565336e-06,-9.039826671544625e-05,-7.836247467945164e-06,1.8297871988811931e-06,3.019635110089952e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
groman28,-0.9999999979745744,-1.299939416785297e-06,-6.442648114126174e-06,-8.9972712002126e-06,3.5400141739916694e-06,-8.43614459148861e-06,6.199195489580816e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
One_Winged_Rook,-0.9999999990577031,1.3327430043015942e-06,4.611057016948943e-06,-6.282140115553933e-06,-6.550698393970037e-07,-5.596034751480329e-06,-2.988902293026138e-06,4.220677954953305e-05,0.0,0.0,0.0,0.0,0.0,0.0
Salanmander,-0.9999999995657893,4.2609009977453377e-07,5.635634199067156e-06,9.369152013721856e-07,-1.3894437293843513e-06,1.7631369061377603e-06,6.40026345143085e-07,2.5201986487450665e-06,2.870193807809528e-05,0.0,0.0,0.0,0.0,0.0
nestorrobespierre,-0.9999999985988755,8.126778933749447e-07,-2.456741555773586e-07,-8.010379522144126e-06,1.2185405760293114e-06,-7.37894116282573e-06,-3.3548810819392233e-06,-7.16570675330305e-07,1.7335019941093522e-06,5.1639662914049776e-05,0.0,0.0,0.0,0.0
benjotron,-0.9999999997930725,-4.4186795214235575e-07,2.1332510294138265e-06,-1.428411268756969e-06,-1.3821168295000016e-07,-1.1549626575946145e-06,-6.55281356441973e-07,-1.210816759581127e-07,-1.846330944256123e-06,-8.014834889762212e-07,2.0030480977755162e-05,0.0,0.0,0.0
VertigoOne,-0.9999999963392882,-1.9665500090823034e-06,-4.344000220570806e-05,1.4752086411329835e-05,1.0614653394296915e-05,1.3626314379166425e-05,-1.462410787315751e-06,-9.306199095293331e-07,-4.600871306756305e-06,1.8398626846846581e-06,1.5909840008903962e-06,6.988892815809008e-05,0.0,0.0
Samsmithbangbang,0.9999999967446697,9.887759654577488e-06,4.396353269150699e-05,5.811699826420703e-06,-1.2420258610007173e-05,8.46742945662006e-06,1.835695791783537e-05,1.2918484438930047e-05,-6.113527331525613e-06,1.4171197193150147e-05,1.903778917004876e-06,-5.0275381977294876e-05,3.077438843570586e-05,0.0
galentines_day,-1.881609678519837e-15,-1.1495264357168953e-12,-2.5784684385583295e-12,1.4153987264476417e-12,3.939852966657407e-12,3.64351512576779e-12,-6.08551727047768e-12,-4.354193835333679e-12,-2.0982401816195652e-12,9.965646317835188e-12,1.056537270824619e-12,4.234715397829275e-12,-3.890099394570692e-12,1.0
