username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
walrussingsatmidnite,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
infinitepaths,-0.9999999947362328,0.00010260377380868893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FetusFondler,-0.9999999841468339,-1.7344865443122288e-06,0.00017805427128260928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nickburgess,0.9999999789134179,1.852770721815475e-06,-0.00017810426472619656,0.00010221840280792665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thingscouldbeworse,0.9999999762976399,1.9201488259086885e-06,-0.00017813459201185096,5.262834791040219e-08,0.00012517626380383805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marojelly,0.9999999684292609,2.1453740621047114e-06,-0.00017830846666214815,8.758321574242105e-08,1.0787347496220689e-07,0.0001770393911432315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
howdoireachthese,-0.9999999645186025,-2.1739899277978994e-06,0.00017829620306055574,-1.0220141684707698e-07,-1.2858323800931469e-07,-0.00017700444759367526,8.85320850468551e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TriggerTX,0.9999999064180439,1.3434963912586766e-05,-2.631820031242806e-05,4.822106726098828e-06,5.917476427773041e-06,8.322046947034667e-06,-2.158342866214583e-06,0.00043146097531901825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antisocialmedic,-0.9999999937167181,6.476051955496999e-07,-9.325294279192317e-07,1.2524688761300235e-07,1.5356355819011943e-07,2.3132777803016886e-07,-3.99635762899174e-08,2.5990734174892325e-06,0.00011206437966034482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
theLaugher,0.9999999914706481,-7.891220453776245e-07,1.0772633714633097e-06,-1.3669033562835674e-07,-1.685233686104863e-07,-2.5478840637171613e-07,3.761727745602649e-08,-3.0911818900762807e-06,-0.00011209794362238637,6.694253253563648e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FlashVortex0,0.9999999858592523,-9.746479888103795e-07,1.4608002159561588e-06,-2.0078602637722816e-07,-2.467557180465972e-07,-3.611974785397621e-07,5.873020485708866e-08,-3.3750070654696086e-06,-0.00011220552583455361,1.5542866019661137e-07,0.00012520655493007736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adurango,0.9999999858592523,-9.746512349571342e-07,1.4608002159561588e-06,-2.0078602637722816e-07,-2.467539441910899e-07,-3.6119685143467697e-07,5.873145889174066e-08,-3.3750068081524727e-06,-0.00011220552583455361,1.554319771402123e-07,5.606155408404985e-08,0.00012520654251609224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VBassmeister,0.9999999897841383,-8.447361136311518e-07,1.1959410904704885e-06,-1.5698190310566759e-07,-1.9336710191723304e-07,-2.897332836338153e-07,4.562569518399362e-08,-3.1770328289485845e-06,-0.0001121448156720959,1.0113308432975442e-07,7.866489733812226e-08,7.862968004663013e-08,8.855989767479426e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panic_bread,0.9999999858592521,-9.746512349571342e-07,1.4607984416671242e-06,-2.0078689396184235e-07,-2.4675483111884355e-07,-3.611982584441442e-07,5.872726528990392e-08,-3.3750064170425513e-06,-0.0001122055268252547,1.5543418086948647e-07,5.6062397231343425e-08,5.6037296588358187e-08,1.1111896108446878e-07,0.00012520648168058487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
