username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
LilYonsan,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Terex80,-0.9999999998435664,1.768806121872934e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
on_my_lunch_break,-0.999999999865443,8.537289251210726e-07,1.638247310375292e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
epicazeroth,0.999999999086744,-7.477038719637041e-06,-1.0631389798785748e-06,4.206513876285479e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FroVice,0.999999999439695,-1.2824851790740297e-05,2.7775782446950964e-07,1.3258420943714153e-05,2.7933322660691265e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
orpheus090,-0.9999999987896488,1.3359392701001487e-05,-2.6464453236126537e-07,-1.581734394916918e-05,-2.6818374800399046e-05,3.5675559919892874e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inelukie,0.9999999985090687,-1.3443249147593192e-05,1.4273496557304475e-07,1.6910785314319723e-05,2.6063230752102584e-05,-3.4573205893139095e-05,2.5309055317877775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swearrengen,-0.9999999996652223,1.1985760083691967e-06,1.5433226623704396e-06,-1.2863790944272515e-06,1.0573566749462038e-06,-1.36252646899758e-06,6.560825133394817e-07,2.5703643528761954e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forerunner398,-0.9999999993740744,2.168643199775994e-06,2.0644320146512904e-06,-4.2996408658340935e-06,1.7494167140078876e-06,-3.9144122293955665e-06,2.1855935432975405e-06,-1.5786990835651611e-06,3.462293381087257e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kintops,0.9999999991140849,-2.7654362236072837e-06,-2.398797244278508e-06,6.280877662343312e-06,-2.332852384849659e-06,5.775104366873296e-06,-3.266682310773467e-06,2.6514889871350377e-06,-3.246622133627294e-05,2.46663350680854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anki_gamer,-0.9999999998574315,1.3591523162401267e-06,1.11123460473243e-06,-2.804422290893613e-06,-2.562469911406585e-07,1.3150311421130791e-06,-1.040472652587817e-06,1.1545503419669219e-06,3.0033220789812364e-06,-2.059857475264126e-06,1.6022386525860465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Positron311,0.9999999993044298,-2.780958453578937e-06,-1.972476324410067e-06,7.493417205842073e-06,-5.71814095551796e-07,7.561285915201791e-07,2.1245926043587733e-07,1.924646507757383e-07,-2.866005348853089e-07,3.32837334765653e-07,-1.5218897413557041e-05,3.302387295449282e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DashingLeech,0.9999999995672603,-3.570539707729408e-06,-2.2614742899894087e-06,1.0863367968638863e-05,1.175472261289393e-07,-1.470315139675106e-06,1.9755796887213208e-06,-1.006715651595154e-06,-5.830953906375214e-06,4.672162249683005e-06,-1.4155872739180752e-05,-2.9448866651758103e-06,2.1392094761785686e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RYouNotEntertained,0.9999999997226898,-1.66825998280463e-06,-1.3409209999169826e-06,3.5389033751461515e-06,-9.003541212168594e-08,-5.231544412452097e-07,6.502397746206766e-07,-7.501820467841972e-07,-2.0811390515405215e-06,1.4193255555464044e-06,-1.6189432197856904e-05,-1.0678608712610918e-06,-1.7278755360358555e-06,1.6238196495885483e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShreddingRoses,-0.9999999994569154,8.064724280593736e-06,1.5335818038392406e-06,-2.649846750921583e-05,-8.019542750330145e-06,1.68087996931248e-06,-8.758299986611139e-07,1.7547678761294114e-06,1.8449464515877135e-06,-9.896397802434639e-07,7.243996907062935e-07,-2.4588085537763274e-06,-4.614276537206369e-06,-1.970956758916472e-06,1.4473913628339926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thesmokingpants,-0.9999999994102791,5.083891224824209e-06,7.961860229447648e-07,-2.924293010217826e-05,-2.413026945981458e-07,7.614759273494481e-07,-5.316682520523659e-07,5.973675700171419e-07,1.8799017250418606e-06,-1.4778415887650524e-06,-4.913592115363851e-07,-1.5948186807491466e-06,-1.620367270897681e-06,-1.2082352108817778e-06,1.0556555801629904e-06,1.6817635912152802e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SupriseGinger,0.9999999993269892,-6.949144813637873e-06,-1.6749985190995572e-06,2.294022286060904e-05,6.6539043155372785e-06,-2.447538001086503e-06,1.5593885242471567e-06,-2.1070699515952025e-06,-3.7088888705125856e-06,2.4950046576064892e-06,-1.3319287453508666e-06,3.7285283018926775e-06,6.119797059407807e-06,2.710683272491003e-06,-1.2854498468743352e-05,2.4300476472111113e-06,2.1446106453249117e-05,0.0,0.0,0.0,0.0,0.0,0.0
TheConstipatedPepsi,-0.9999999992797184,6.197663007901449e-06,1.4674064614679056e-06,-2.0748845570570318e-05,-5.802488790950195e-06,2.0919037814525687e-06,-1.4801073213839196e-06,1.8043469395967791e-06,3.927743321344527e-06,-2.738054288230089e-06,1.6785288084643574e-06,-3.6232361509105193e-06,-5.611547389446592e-06,-2.5590768860383337e-06,1.5464429170311993e-05,-3.6164351116252816e-06,-1.639987736487692e-05,1.8108076684051257e-05,0.0,0.0,0.0,0.0,0.0
