,username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,EconomistMagazine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,atomic_mermaid,-0.9999999836682276,0.00018073058550171765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,philotrow,-0.999999994748777,-1.3658881022999288e-06,0.00010247233970780968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Raresandrei,0.99999998386141,1.9775623074385497e-06,-7.123918653525545e-05,0.00016491891135040598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,CurryF4rts,0.999999976280274,-9.501390429351479e-05,6.073636115898878e-06,-4.416265709573766e-06,0.000195845390432423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,roussell131,-0.9999999900243087,-7.316076353393861e-06,8.88704192436551e-06,-1.4644812165442577e-05,1.1799395263685477e-05,0.00013951767518388455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,YabuSama2k,0.9999999927734152,6.122693977484236e-06,-9.030485704619212e-06,1.548845394171281e-05,-9.888029205736355e-06,-9.049908110283853e-05,7.61996291666149e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,premium_mud,0.9999999760635392,1.120884979694784e-05,-1.1305042060328315e-05,1.7427941277369326e-05,-1.9128940464986443e-05,-0.0001424571064637601,2.47202849761496e-06,0.00016324733112838135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Nepene,-0.9999999833873287,5.151608209045913e-05,-3.639123319869406e-06,2.4957806005627516e-06,-0.00010295544953695435,-1.8693214214570009e-06,6.006058964924317e-07,8.652577038255934e-07,0.00014123574367071954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,YenTheFirst,-0.9999999750203606,4.230138492689983e-05,1.1386552260104947e-06,-2.0734453927635835e-06,-8.706773366608295e-05,3.885979023211207e-06,-2.917933824566698e-07,-4.7840214032014855e-06,-9.15034026250424e-07,0.00020135683452175354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,MyPenisIsaWMD,0.9999999614727918,-3.547269692953684e-05,-4.805868811449647e-06,5.532999109975971e-06,7.538327314100769e-05,-7.757513447688645e-06,-1.546656017162012e-07,9.255964043312892e-06,2.6771794421753343e-06,-0.0002059819460500211,0.0001657653437858921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,forestfly1234,-0.99999998584189,-5.458781162424675e-06,7.969294041986885e-06,-1.3239068812667373e-05,9.707866691481075e-06,6.959806185523175e-05,-5.755775595524291e-05,-1.2163904329121886e-06,-1.8573370962452122e-07,1.9450982005158825e-06,-2.0007990441210545e-06,0.00014066737366116936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,stratys3,-0.9999999851313985,-1.1709414829085917e-06,3.813814404099472e-05,-8.680226741559244e-05,9.951777971911311e-07,2.221523900267875e-05,-1.8424779526766794e-05,-3.4049272933542547e-07,3.659876699281441e-07,7.41153024338671e-07,-5.260476721477269e-07,3.7784288633196014e-07,0.00014110804889739745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Leagle_Egal,0.9999999647369444,3.6922920059003637e-06,-4.05814264587582e-05,8.948981977903735e-05,-6.194025901823538e-06,-2.4091639487780563e-05,1.765725975356235e-05,3.5103022974175905e-06,2.530172648351039e-07,-4.963022314626798e-06,5.558241914989631e-06,-2.1200215658610105e-06,-0.00014059459177635743,0.00020021837909819972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,lifeonthegrid,-0.9999999733411153,5.947196009167677e-08,8.226292477785516e-06,-1.6153669786412906e-05,1.4472955161716927e-06,8.822677761820325e-05,-7.460154292059093e-05,1.67297489644808e-07,1.6067739667393071e-06,5.741645135684465e-07,1.4945037295490284e-07,4.495149998856193e-07,1.129701969297895e-06,-1.3105099813164416e-06,0.0001990767330811465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,mylifeisprettyplain,-0.9799865959907983,0.010984414344653548,-0.004990417948657364,0.004396425670369656,-0.019196433957290666,-0.011110906470025383,0.0070694973881724665,0.006825094624379829,0.002788374320447674,-0.003229536920433723,0.001285603579220602,-0.003484331958997836,0.001064844194316409,-4.967830717749645e-05,-0.00139297076923935,0.19707306118845594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Madplato,-0.9999999911648295,-5.571322876622515e-06,8.552666226994327e-06,-1.4823501679376244e-05,9.182044528167692e-06,8.500816476719094e-05,-7.120365404275983e-05,-1.5874168804466317e-08,4.6651367515041374e-08,3.671824271135519e-07,-4.622700741727938e-07,3.515590825802681e-08,1.3423018785689429e-07,-2.8790496915008487e-07,4.885870676009516e-08,1.7640936711214405e-07,7.046468622589206e-05,0.0,0.0,0.0,0.0,0.0,0.0
17,DerWasserspeier,-0.9999999900923238,-6.5395155507114455e-06,8.675252217131775e-06,-1.4573004479789513e-05,1.066425747949106e-05,8.207328374470495e-05,-6.80901939474882e-05,-4.841393966534451e-07,-2.6037967082270026e-07,8.623507184842179e-07,-1.216838699067649e-06,3.034253779176823e-07,1.6884970367349523e-07,-6.497873220602623e-07,-1.9540885739412262e-08,-1.7189790220896209e-07,2.0044377307304057e-07,8.94191844549291e-05,0.0,0.0,0.0,0.0,0.0
18,Iustinianus_I,-0.9999999882607735,-5.849647448058342e-06,8.298952223680236e-06,-1.3940204736008427e-05,9.914295370852318e-06,7.63361445668318e-05,-6.322919503652418e-05,-7.337600441894748e-07,-1.7188144416291307e-07,1.2664848651148375e-06,-1.4951381104403763e-06,4.6396855686920186e-07,2.85182795412569e-07,-8.99935546942576e-07,1.699343207268692e-07,-7.105962067683745e-07,1.8441899618139803e-07,5.214555892087708e-07,0.00011511406360338472,0.0,0.0,0.0,0.0
