username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
wastagaswe,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stokkolm,-0.9999999975546671,6.993329508366578e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MrMercurial,-0.9999999968468999,1.0749032270061e-05,7.868073735246314e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kilgpmktra,0.9999999919784198,-3.55503396785527e-06,-4.6424906609341794e-05,0.00011779325086354679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Super_Duper_Mann,-0.9999999981644472,2.5970136348525683e-06,6.441225597191914e-06,4.6293627512268695e-06,6.001200464255035e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
____Matt____,0.9999999971327072,8.45510968670515e-07,-2.5013888986931576e-06,4.002665323593381e-06,-1.694406997688891e-05,7.365114369458571e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Genoscythe_,-0.9999999993823859,-3.1354392870248155e-06,-4.5247175339040756e-06,-9.03748816613797e-07,6.423390431233538e-08,-4.892260093989973e-06,3.435358571580819e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ImagineQ,0.9999999984316429,4.734743946172485e-06,6.387291106872958e-06,-3.5098535725286796e-07,1.7617786896543515e-06,3.3230501667085243e-06,-2.6094857174965052e-05,4.876768978416238e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smartest_kobold,-0.999999993470116,-1.1902208009413234e-05,-2.763200824813228e-05,-6.4197056076543815e-06,-6.170830067683649e-06,-9.215362226172714e-06,2.8245133095366716e-05,-1.6856123841646142e-05,0.00010444350802428252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphabetagencies,0.9999999931025032,1.5726531005548615e-05,3.2773157652251394e-05,4.525508537389857e-06,9.495453078785386e-06,8.386945210905167e-06,-2.8968893866922694e-05,1.6377444114749133e-05,-9.003869504597333e-05,5.5481716811926215e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
as-well,-0.9999999990120695,-2.1956455662966704e-06,-7.474437324326076e-06,6.64947650526612e-06,-2.0643464454874913e-06,-1.7581544403166826e-06,2.226364312187057e-06,-1.5188738918549102e-06,1.686455363068173e-05,-6.369329294564408e-06,3.91325885121866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FrostbiteOrange,0.9999999990482309,2.717051140932508e-06,7.787515025553313e-06,-5.452091746484045e-06,2.2694838689393883e-06,1.6731863894625765e-06,-3.250930186130087e-06,1.53204603605307e-06,-1.7535054153181387e-05,6.365127066360806e-06,-1.5853018369861563e-05,3.4432659731360055e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muyamable,-0.9999999991627526,-2.661693422091484e-06,-6.765443522919272e-06,2.075442409744719e-06,-1.8382688543298451e-06,-1.5758847286578207e-06,4.321383720409541e-06,-1.6421219980768215e-06,1.4531629694627303e-05,-5.406926987131498e-06,8.053776359026965e-06,-1.8382757507563747e-05,3.0771832330706555e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Toffeemanstan,0.9999999955846341,6.00550760857708e-06,7.824957186048655e-06,1.8312884933469456e-05,4.593422533922484e-06,3.5220114040314717e-06,-1.0682643448216126e-05,5.243394417449847e-06,-2.116046325227611e-05,8.011804205979716e-06,-1.5349459283742326e-05,1.7076477719938776e-05,-1.8935564430739347e-05,8.261498545035247e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abhd,-0.9999999956628999,-3.718230491555286e-06,-4.658240779473807e-06,-1.9661748416661114e-05,-2.614139160359223e-06,-4.130328803543175e-06,1.1687870512422332e-05,-6.1814600720597286e-06,1.6718340553676826e-05,-7.072446117590936e-06,1.7094737562936388e-05,-1.5167609104599243e-05,1.2237140258549448e-05,-2.9381821339327007e-05,7.866723175780278e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Highlord_Jangles,0.999999997111252,5.562256909150408e-06,9.110166576672653e-06,5.437265932569133e-06,3.97001270680454e-06,2.1125731282141344e-06,-7.61674404628927e-06,3.671128493469213e-06,-2.1748383346613587e-05,7.599045343333627e-06,-7.762901847142143e-06,1.2333982926861364e-05,-1.8548766567209977e-05,1.1284807916196914e-06,-7.856399163722697e-07,6.673235615819049e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jasontheperson,-0.9999999954237806,-6.783625674393557e-06,-9.944971325165299e-06,-1.6386185056074297e-05,-4.1473057567129055e-06,-3.6053394832682128e-06,1.2457361196005735e-05,-6.658025064430721e-06,2.3650610705626656e-05,-9.516690716724029e-06,1.3951115596664603e-05,-1.539800768287532e-05,1.6746318396738857e-05,9.19179639010835e-07,-2.018494823994947e-06,-4.7815606458307694e-05,6.968469043975225e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kjmichaels,-0.9999999980806549,2.652822216674689e-06,7.047849648711111e-06,4.896307680092312e-06,1.4188734997142976e-06,1.95461565344334e-06,-3.2922923515888163e-06,2.748774274493841e-06,-3.1291633040037476e-06,4.6502970212161826e-06,-1.2458497155628068e-06,1.2948055892005775e-06,-5.775521900969935e-07,1.4950281828547274e-06,3.7273343513879243e-07,1.7282805813404092e-06,-1.1257617480246707e-07,6.077355779029466e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lammchops15,-0.999999998080655,2.6528206291289807e-06,7.047845632450741e-06,4.896306991801698e-06,1.4188716497127332e-06,1.954616735242515e-06,-3.292292194071758e-06,2.7487766284521375e-06,-3.1291633040037476e-06,4.65030502546038e-06,-1.2458654352524852e-06,1.2948033207741384e-06,-5.775485821772157e-07,1.495031697502836e-06,3.7273559790009845e-07,1.728281550216742e-06,-1.1257617480246707e-07,1.407543155412897e-07,6.0773392053151305e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BenIncognito,-0.9999999993938951,-3.5358738787043577e-06,-5.531324478143319e-06,-2.2039685194903353e-06,-1.4017443352309038e-06,-2.860943451440786e-07,6.561625489645792e-06,-1.4003021567951585e-06,9.187517228201158e-06,-3.2926558853180996e-06,4.0002851819068404e-07,-1.3395601537345146e-06,2.3994686956886667e-06,-1.1077562480671362e-06,1.2672081746597022e-06,-2.408261884562453e-06,4.0387268299715025e-06,-8.39159900049646e-07,-8.372168240469817e-07,3.1430541659100096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TJHug,0.9999999968377606,1.4848124502260812e-06,-6.962615580522438e-08,8.817852422203255e-06,9.3763629280899e-07,1.051249187203876e-06,-5.792967604277592e-06,2.338154300956934e-06,-6.602253517150457e-06,9.163293253553506e-07,-8.037758861927406e-06,5.894795727921082e-06,-3.7896398731601818e-06,-9.300144868444387e-07,5.168747111650907e-07,1.1307077360004755e-06,4.476201414042901e-07,5.168398255445226e-07,5.156442072997949e-07,-1.475259407356384e-05,7.631891464793515e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James_McNulty,-0.9999999968628542,-1.235953547663352e-06,4.6594837068805363e-07,-8.667805248541885e-06,-8.112497359441009e-07,-1.0367977580505275e-06,5.512204822803634e-06,-2.2576782543076514e-06,6.0562747176701255e-06,-7.133554545872897e-07,8.05580854160314e-06,-5.851761831083342e-06,3.6875213117717094e-06,1.0074768305936118e-06,-5.990626183211048e-07,-9.922369761210652e-07,-6.926270663048419e-07,-4.227722208629918e-07,-4.217960383395132e-07,1.3026972279991815e-05,-6.486079451274201e-05,4.03789232635302e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
serphz,0.9999999988308382,5.35544097957497e-06,7.32274019998042e-06,2.230206985401075e-06,2.132078702757824e-06,-3.233074544317708e-07,-8.547909920146513e-06,1.5307244960891817e-06,-1.2616904773681055e-05,3.6365218518240157e-06,6.478548380123236e-07,1.0320515465674526e-06,-2.88613017074544e-06,1.370726247650695e-06,-1.977185373827852e-06,2.0465816001586537e-06,-4.562766852504792e-06,1.7674829698403517e-06,1.763399688608526e-06,-2.8960840066702223e-05,3.3886729820664554e-08,-2.4288111533358086e-08,3.336164885121925e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
