username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Sweddy,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL_TOC,-0.9999999852636406,0.00017167620374430287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ansuz07,-0.9999999969785657,7.411787242199765e-06,7.738174514437044e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
testrail,0.9999999936588672,-1.8046011807873896e-05,-4.953728953721692e-05,9.951213281420842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fluffhoof,-0.999999945581311,1.5156071257389768e-05,4.796479552521141e-05,-0.00010991549618053909,0.00030696193750270976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
StormySands,-0.9999999455813113,1.5156069317301973e-05,4.796479552521141e-05,-0.00010991549618053909,-1.2088116337605982e-05,0.00030672382993628995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radialomens,-0.9999999949634308,9.797870178513643e-06,2.211177800118605e-05,-4.199034998237872e-05,1.8145557788686385e-06,1.8874746603480693e-06,8.785308820428028e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sayakai,-0.9999999888732408,1.6074894896493388e-05,4.490176674128135e-05,-8.968839921083496e-05,6.355264058936881e-06,6.610659953160872e-06,4.032413224687948e-06,0.00010878689401455507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Freevoulous,0.9999999874374883,1.3505057191476127e-05,-2.899297823639973e-05,2.8418003187487622e-05,2.948794648355266e-06,3.067298120785747e-06,-1.5492440140704953e-05,9.612791335940808e-07,0.00015177423370755022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thin-White-Duke,-0.9999999757766408,-2.41882101246165e-05,4.2049130375451114e-05,-4.8190311187508885e-05,5.883113737793987e-06,6.119535012039948e-06,1.8454931703239143e-05,9.453891933122111e-07,-0.00011870024741066845,0.0001710787147421371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_I_Have_No_Mouth_,-0.9999999518481177,1.168567907332812e-05,3.9595818078851046e-07,-1.309516864006257e-05,4.792110939166656e-06,4.984689283945923e-06,6.222619853353648e-06,1.1280044085427368e-05,-7.867039474320015e-06,2.3940553349265817e-05,0.00030845867655381124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
