username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
badabinglove,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slurrpin,-0.9999999982733808,5.876426281314611e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ThatBelligerentSloth,-0.9999999977177576,-3.1608038887825665e-06,6.748699383753707e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poloport,0.999999998097548,-1.9225226939589458e-06,-1.5775261027648813e-05,5.9601588096323566e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cacheflow,-0.9999999967760784,-2.07811173308157e-05,1.8557129414932318e-05,-3.0009851296897057e-05,6.907264463989498e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Made_in_Murica,-0.9999999958132274,-8.880627908686713e-06,1.699618073806935e-05,-3.7523875221122884e-05,2.7214793522018626e-05,7.653184600486624e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super-commenting,0.999999996194319,9.341423948223687e-06,-1.620246670055793e-05,3.65023407837979e-05,-2.2750279806463326e-05,-2.63118062332571e-05,6.869696398958628e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45MonkeysInASuit,-0.9999999967760784,-2.07811173308157e-05,1.8557129414932318e-05,-3.0009851296897057e-05,6.128895478120634e-05,2.767887661898719e-06,-1.517578719382341e-06,3.169747570220981e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veggiesama,-0.9999999984112996,6.8757135981463525e-06,-6.939721196167397e-07,4.379303327749324e-09,-6.0667788931671455e-06,5.384479352022637e-06,-8.303206188382094e-06,-2.357485401424194e-06,5.467489871664478e-05,0.0,0.0,0.0,0.0,0.0,0.0
FSFlyingSnail,-0.9999999965783848,-5.706221184788665e-06,1.0627133673653142e-05,-2.3984272662198253e-05,1.8236549748908593e-05,1.0635297052872757e-05,-1.9301393436717173e-05,2.6254137092382466e-06,6.654324646256774e-07,7.277999577686861e-05,0.0,0.0,0.0,0.0,0.0
ihadtripsss,-0.9999999982374814,2.611109543200605e-06,7.647653565087357e-07,-7.177834624397872e-06,-2.7022102381328955e-06,2.0804567000325696e-06,-1.1417524249442156e-06,-8.998951628881045e-07,1.3164314955472827e-08,4.7499486873789315e-07,5.875494696659954e-05,0.0,0.0,0.0,0.0
silverrain64,-0.9999999967760784,-2.07811173308157e-05,1.8557127769840486e-05,-3.000985502237841e-05,6.128895478120634e-05,2.7678862112306863e-06,-1.517578719382341e-06,1.4735871294106344e-05,-7.313535383129318e-07,6.185458904082339e-07,-2.646246508383222e-07,2.804632693666498e-05,0.0,0.0,0.0
Sayakai,-0.9999999985125014,5.45724207010896e-06,-1.2887879740317003e-06,-2.166700836013667e-06,-6.998258440255721e-06,1.7066819267994045e-06,-4.770549886261067e-07,-1.89037702850181e-06,3.60287583302413e-07,4.897764869473806e-07,-9.814962387656417e-07,-1.1539241594029231e-06,5.3670348218983006e-05,0.0,0.0
CaffeinatedStudents,-0.9999999982374812,2.6111133217659145e-06,7.647653565087357e-07,-7.177838349879222e-06,-2.7022118454595444e-06,2.0804596013686344e-06,-1.1417524249442156e-06,-8.998951628881045e-07,1.3164314955472827e-08,4.7499944509028e-07,-1.0153613311103649e-06,-5.639444448977151e-07,-1.1051684455560172e-06,5.873307192517874e-05,0.0
Szyz,-0.9999999967760784,-2.0781119220098356e-05,1.8557129414932318e-05,-3.0009851296897057e-05,6.128895478120634e-05,2.7678862112306863e-06,-1.517578719382341e-06,1.4735871294106344e-05,-7.313535383129318e-07,6.185489413098251e-07,-2.646246508383222e-07,8.876609781446351e-06,-4.1214719629502654e-07,-1.918205504616029e-07,2.6600672167513648e-05
