username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Flumberbug,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Traccoon,-0.9999999827673981,0.0001856480640647568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geralt_of_Rivia1,-0.9999999778492733,4.217822217808712e-06,0.0002104368389348153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoodleVnTaintschtain,-0.9999999911768322,8.374583625596378e-07,3.1388698536927315e-07,0.00013283650029376564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hacksoncode,-0.9999999950017953,6.683965139254109e-07,4.477203564531264e-08,2.793968570352069e-06,9.994075563406881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blatantspeculation,-0.999999977849273,4.217822815834352e-06,-9.681474641531245e-05,7.260242510375516e-07,1.1735237476871384e-07,0.0001868422539697175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TanithArmoured,-0.9999999911768318,8.374589605852786e-07,3.1388698536927315e-07,2.7215063058222657e-06,3.637531476780958e-06,5.033116706239315e-07,0.00013275784374833802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lowry4president,-0.9999999911768321,8.374583625596378e-07,3.138859302089407e-07,2.721503798477472e-06,3.637528144137481e-06,5.033092938103338e-07,2.5657506913720105e-06,0.0001327330454075013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blindweaponsfumbler,-0.8687277281408714,-0.009200519631983671,-0.008418196383899157,-0.017766430417758928,-0.03502276874322277,-0.01375221749978428,-0.01640099631520016,-0.016087028211454905,0.4928462942380159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamedhijazi22,-0.9999999964655938,1.1989965577395735e-06,2.966498861787702e-07,2.326371332482605e-06,2.9260565296083187e-06,4.769492426056403e-07,2.1980816038100486e-06,2.156000634497154e-06,-5.372867274452476e-06,8.375403347720443e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snugghash,-0.9999999827673982,9.374651738152413e-06,3.533078281467065e-06,1.1029550653953941e-06,1.1464849002740571e-06,5.804942951023316e-06,1.0275792782604323e-06,1.007905138813161e-06,-2.880041607244009e-06,2.1695457101586765e-06,0.00018523912987114676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eulerslist,-0.9999999882750983,5.2517738651428375e-06,2.3274246514690446e-06,1.6639943574627936e-06,1.9198081559809326e-06,3.819648784842706e-06,1.563786570969017e-06,1.5338508781344914e-06,-5.751612755761444e-06,2.184983363496654e-06,4.679668368871168e-06,0.00015274556792495164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kingbane2,0.137404811018761,0.018391264165289772,0.016835718972364036,0.035549421415721615,0.0700997029592128,0.027503228611001653,0.032816743991397716,0.032188525392570715,-0.9856221489229431,4.9631756860653475e-05,-9.331847826320972e-06,1.1105172252601906e-05,0.0001326712048000992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueelffishy,-0.9999999928498847,-1.3768320405489426e-06,-8.453306724804411e-07,3.1594271217861772e-06,4.171355419867626e-06,-1.4049946452178643e-06,2.9875639134147974e-06,2.930372074241441e-06,-4.796981794400141e-06,3.074520847284311e-06,-1.437778455741092e-06,-2.4564518486866917e-07,3.12896680989976e-05,0.00011505267067855903,0.0,0.0,0.0,0.0,0.0,0.0
IlluminatusUIUC,-0.944444771476886,-0.003893485673371199,0.0010295915737048055,-0.006724488171496766,-0.016146683510293476,0.0017293766912597499,-0.006154763121554473,-0.006036940985664368,-0.031248642442238076,-0.01729665390343799,-0.0038551690862055565,-0.005637560550503196,0.03325380789783221,-0.019542664062426437,0.32375079294867126,0.0,0.0,0.0,0.0,0.0
tikforest00,-0.16668823471414557,0.011675921134968638,-0.0030892084898786255,0.020183847100191884,0.04847410517269335,-0.005188905114402292,0.01847353512499252,0.01811989170659424,0.09378980219428523,0.0519214139497987,0.011561164032622044,0.016920410787431235,-0.09981130945547602,0.05866357246413962,-0.9712360328686601,0.00020973197757685104,0.0,0.0,0.0,0.0
lemuremf,-0.9999999827673981,9.374653532229336e-06,3.5330770888285655e-06,1.1029539583214792e-06,1.1464849002740571e-06,5.804943038288913e-06,1.0275770269698692e-06,1.0079042417901845e-06,-2.880041736322344e-06,2.1695428736848e-06,8.576575685227101e-06,5.41241266760313e-06,-1.2879160303638886e-05,1.3064682112085879e-06,-6.076843610354513e-07,-7.095519603399924e-06,0.0001843702476004355,0.0,0.0,0.0
MTorkelson,-0.9999999882750981,5.2517738651428375e-06,2.3274268106105913e-06,1.6639967468834453e-06,1.9198092668620917e-06,3.819650407291741e-06,1.5637901779914868e-06,1.5338499626428053e-06,-5.751612417860043e-06,2.184984255254054e-06,4.679668285600048e-06,3.268956544308729e-06,1.2511861368372582e-05,-3.7218611268914134e-06,-4.112686427479839e-06,9.436520242384868e-06,5.638067216314822e-06,0.00015169829894928178,0.0,0.0
IslayThePeaty,-0.9999999950017955,6.683953178741295e-07,4.4770004704389116e-08,2.7939690846020493e-06,3.5466258497675123e-06,6.053931938579274e-08,2.640943684964834e-06,2.5903848121030142e-06,-6.675856392285173e-06,2.8030559957287842e-06,4.2933712731988635e-07,8.523485593155553e-07,4.1233766220417155e-05,-8.198925068116818e-06,-9.91421208207046e-06,2.8348448277098903e-05,4.383161883088763e-06,-4.957322774313682e-06,8.482566348030839e-05,0.0
random5924,-0.9999999827673981,9.374651738152413e-06,3.5330776523677283e-06,1.1029539683004919e-06,1.1464860111552162e-06,5.804943037591189e-06,1.0275778328114334e-06,1.0079058686383097e-06,-2.880041600936516e-06,2.169545533521058e-06,8.576575656179677e-06,5.412412635542765e-06,-1.287915883919881e-05,1.3064678129401801e-06,-6.076843033346999e-07,-7.095522632805515e-06,6.875135604260542e-06,6.5968412961580275e-06,9.557160775071694e-06,0.00018387567285898238
