username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
AggressiveSloth,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muyamable,-0.9999999954284267,9.561980046057594e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bracs279,0.9999999874910735,-7.225875162115354e-05,0.00014070012507777787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slurrpin,-0.999999985811466,4.3992572335092264e-05,-6.423727192615929e-05,0.0001493830440010072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lostinthesauce10,0.9999999679958195,-5.594143120690196e-05,6.178496898577621e-05,-0.00012586041547474886,0.00020302878935348726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RadioactiveAppendix,0.9999999679958195,-5.594143120690196e-05,6.178496740763543e-05,-0.00012586041473154334,-4.490264549356831e-06,0.00020297913026503145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alfredo094,0.9999999852498291,-4.305569749951219e-05,5.972612810428831e-05,-0.00013423544311697873,3.3863600911233467e-06,3.462101868739132e-06,7.769639491457306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frogmarsh,-0.9999999900219008,1.977923687050586e-05,-1.1119625691380534e-05,2.1854158895770833e-06,-2.4726902534944764e-06,-2.5279959883945895e-06,-7.085014775116697e-06,0.00013918999671958996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NoFluxGiven257,0.9999999738534737,-3.0362356021051268e-05,1.1289151941017974e-05,-9.259190260906768e-06,-8.658389703331153e-06,-8.852049355868756e-06,3.0369675251191568e-05,-0.00014200909783860336,0.00017296176961141847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
darwin2500,-0.9999999930275836,1.553265396651914e-05,-8.677077239149367e-06,-5.726576135362483e-06,-3.28901444717449e-06,-3.362577917371348e-06,1.1292849535915704e-06,1.7475958907016207e-05,-8.16424407017181e-06,0.0001148913393382722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CJGibson,-0.9999999917192175,1.6724792388498845e-05,-1.1135585429073487e-05,2.3611698734660526e-06,-5.153670371849222e-06,-5.268938784915617e-06,-2.4948111799179205e-06,1.7633743146555844e-05,-8.65786140504068e-06,1.4621876505071685e-05,0.0001244669291316386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BusyLuckyMud,-0.9999999784342832,2.494410919170786e-05,-8.406943725812282e-06,5.660273284771093e-06,9.064520598863157e-06,9.267262950608818e-06,-1.404900533875352e-05,1.3839311994698796e-05,2.205952258916293e-05,2.3118736838358186e-05,2.129683026316213e-05,0.00020093508010840823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
someWalkingShadow,0.9999999779768038,-2.3605052265435844e-05,6.325410758070349e-06,1.5929986709577376e-05,-5.068921511675072e-06,-5.182295838701311e-06,6.625924112498624e-09,-2.405346855167803e-05,2.0078507904893897e-06,-0.0001233228597158332,-9.599024224289647e-06,6.914628241992942e-06,0.00016495995117478559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ader_anhilator,0.999999977976804,-2.3605048782193822e-05,6.325409179929571e-06,1.5929984479960823e-05,-5.068922605335758e-06,-5.182296932629562e-06,6.624495187738542e-09,-2.4053466956415363e-05,2.0078520742679113e-06,-0.0001233228597158332,-9.599024224289647e-06,6.91462768946472e-06,-3.9823474775331696e-07,0.00016495947097018113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Itisforsexy,0.9999999852045247,-4.37872073517816e-05,6.119345893895382e-05,-0.00013806238595063746,3.121332203563993e-06,3.1911462333278866e-06,-1.1832983095226569e-06,-3.1426028393191904e-06,6.305604289717801e-06,5.588688746036271e-07,-8.62156232675115e-07,-4.123337993346646e-06,6.620972032139139e-07,6.636968985003961e-07,6.9122131769489e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
persolb,0.9999999814117908,-4.813776038589223e-05,5.749597136152015e-05,-0.00011969085986618051,6.170871051433363e-06,6.308891521917718e-06,-2.9149164883066864e-06,-7.885466300247494e-06,8.413514061977225e-06,-1.3447959555278568e-06,-3.833947029040687e-06,-4.582800571384935e-06,-3.5021597246414633e-06,-3.510625840307031e-06,-2.569004473922539e-06,0.00013015160205602204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skysinsane,0.9999999679958192,-5.594143585122466e-05,6.17849665286877e-05,-0.00012586041714084223,-4.49026618984786e-06,-4.590695886841028e-06,9.249175517294347e-06,-3.2991240208855435e-06,-1.4956010150992946e-05,-6.726913264241207e-06,-8.384147672384801e-06,1.3751701874751315e-05,-1.2913588911907277e-05,-1.294480234863691e-05,1.1973647354992206e-05,1.0743121574006555e-05,0.00019990390732164623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RemingtonMol,0.9999999679958195,-5.594143120690196e-05,6.178496733571154e-05,-0.00012586041518871627,-4.490264002526489e-06,-4.590695291489407e-06,9.249179682206785e-06,-3.299122961582527e-06,-1.4956010792882207e-05,-6.726909444556696e-06,-8.384147273773224e-06,1.3751702568552175e-05,-1.2913586892829889e-05,-1.294480099770707e-05,1.1973652141208511e-05,1.0743121759248624e-05,-1.0859066869947668e-05,0.00019960875104891855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
expresidentmasks,0.9999999852498295,-4.305569749951219e-05,5.972612847383172e-05,-0.00013423544290288078,3.3863606379536898e-06,3.462100427762257e-06,-2.677730805213078e-06,-4.091184129531565e-06,1.0753536126097793e-05,2.1764673801876547e-06,-5.390717974998379e-07,-6.711679183212142e-06,1.1528642485943718e-06,1.1556494307160543e-06,-2.989741929582861e-06,-2.969644852035515e-06,5.456093016177871e-06,5.760981848304905e-06,7.591922347316173e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jabbam,0.9999999839289266,-4.5288005138243025e-05,5.768883147405452e-05,-0.00012411906703223407,5.832507746612938e-06,5.962960817203505e-06,-2.834502260900413e-06,-7.068873442069774e-06,1.1951255912828648e-05,5.042572305728926e-07,-2.300071887213341e-06,-7.354663500342888e-06,-5.880246571219525e-07,-5.894472869738445e-07,-3.692324527696028e-06,-2.0548192950274396e-06,7.782131959274472e-06,8.217000851261176e-06,-7.146260400365379e-06,0.00010406658280664759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huntingmoa,-0.9999999917192175,1.672479122741817e-05,-1.1135586055155368e-05,2.361169088855941e-06,-5.153670371849222e-06,-5.268938615769168e-06,-2.4948125492007886e-06,1.763374273314795e-05,-8.65786204692994e-06,1.4621876535523971e-05,1.1751822326176808e-05,1.1946517308556164e-05,-7.059658995366496e-06,-7.076721183665484e-06,-5.576734780312366e-07,-3.2915119576447126e-06,-6.253199239472631e-06,-6.602627930322362e-06,1.2704321554304643e-06,-7.354874013126932e-07,0.00012253683532708628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caw81,-0.9999999929214141,1.528728975395459e-05,-1.0949503024634075e-05,4.22015054750734e-06,-5.715042573864688e-06,-5.842867817959075e-06,-2.9515439443917606e-06,1.593796082554589e-05,-8.32034640331238e-06,1.2991824404344285e-05,1.0330931825908267e-05,1.1626912628894709e-05,-7.082230261489994e-06,-7.099349024704927e-06,-9.055135535116496e-07,-4.2036599439161095e-06,-6.856268485154255e-06,-7.239398058084922e-06,6.990701915269302e-07,-1.5300577743183655e-06,6.677871866636768e-06,0.00011274049103097469,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahtisthisidonteven,-0.9999999864812001,3.457940916023061e-05,-1.525371856805795e-05,1.061133835497669e-05,-2.169149104897935e-06,-2.2176658282906815e-06,-1.9226872958564768e-05,4.855467967842233e-05,-4.843438323385705e-05,2.7002098894321372e-05,1.6688033219348066e-05,1.9932996214522655e-06,-2.8102131543451247e-06,-2.8170049012818614e-06,-8.101974806431656e-06,-2.9544717192080582e-06,-2.48392190079818e-06,-2.6227250846625672e-06,-1.1329017382821251e-05,-8.665824601455592e-06,1.451264183822949e-05,1.4272442831396869e-05,0.00013667937973500043,0.0,0.0,0.0,0.0,0.0,0.0
Grunt08,0.9999999861523652,-3.734930179581101e-05,1.2573774518043316e-05,5.762075455879627e-07,-6.653820673509511e-07,-6.802648525619297e-07,1.3485239510564002e-05,-5.4021368013598304e-05,5.5413521925053516e-05,-2.9373969403404678e-05,-1.8607546913856962e-05,-2.4018255301528294e-06,1.0283544763175668e-06,1.0308407314317606e-06,3.8353775544758685e-06,-4.40502833814254e-06,4.605258380423683e-07,4.862607767953076e-07,3.891458720910457e-06,2.612184771156563e-07,-1.6853095756249e-05,-1.7350947651392537e-05,-7.834496307205796e-05,0.00010945498340956746,0.0,0.0,0.0,0.0,0.0
Ipostcontrarian,-0.9999999929214141,1.5287288592873914e-05,-1.0949502831854841e-05,4.2201509723382705e-06,-5.7150436675253735e-06,-5.842868389116947e-06,-2.9515424423498937e-06,1.593796007456891e-05,-8.320348970869424e-06,1.2991825188216601e-05,1.0330933339188694e-05,1.1626913765249166e-05,-7.082232280567382e-06,-7.099349029579258e-06,-9.055135341247972e-07,-4.2036617040407635e-06,-6.856268485154255e-06,-7.239400282883221e-06,6.990703603513996e-07,-1.5300565202180377e-06,6.677870846503333e-06,5.426985936156872e-06,1.1205975474867576e-05,-8.990538949109818e-06,0.00011168958125381002,0.0,0.0,0.0,0.0
brock_lee,-0.9999999784342833,2.494411151386921e-05,-8.406942636957071e-06,5.660273853617364e-06,9.064522786184527e-06,9.267265123553707e-06,-1.4049003275210975e-05,1.3839313719492862e-05,2.2059525156719973e-05,2.3118735590007205e-05,2.1296828902847705e-05,-1.738777580564199e-05,9.15143999526172e-06,9.173560810664797e-06,-1.3199336604764458e-05,-7.454263154879507e-06,1.7395184172237064e-05,1.8367235126254698e-05,-2.303483716418696e-05,-2.0274172973250075e-05,2.4076240094820986e-05,2.3963088070402758e-05,-4.967223885340909e-06,-1.377324229331403e-07,2.35114830979053e-05,0.0001906879885692761,0.0,0.0,0.0
indielib,-0.9999999784342833,2.494411151386921e-05,-8.406942636957071e-06,5.660274596822881e-06,9.064522786184527e-06,9.267264029625457e-06,-1.4049003226466227e-05,1.3839313702105914e-05,2.2059525156719973e-05,2.3118735590007205e-05,2.129683068681238e-05,-1.7387775994721925e-05,9.15143999526172e-06,9.173560137637042e-06,-1.3199334992126275e-05,-7.454261435156297e-06,1.739518250610201e-05,1.836723503561402e-05,-2.3034835575194556e-05,-2.0274171665543704e-05,2.407624180835111e-05,2.3963088854415342e-05,-4.967223966551565e-06,-1.377321451433165e-07,2.3511482887683008e-05,-3.936698385351244e-05,0.00018658014298014218,0.0,0.0
hacksoncode,-0.9999999917192175,1.6724794710660195e-05,-1.1135584266281902e-05,2.3611695755100818e-06,-5.153668731358194e-06,-5.268938032514421e-06,-2.494814075615023e-06,1.7633742695187064e-05,-8.657860121262158e-06,1.4621878605011785e-05,1.1751824000974893e-05,1.1946516681532022e-05,-7.05965495721172e-06,-7.0767184818058044e-06,-5.576719364781499e-07,-3.2915117456785305e-06,-6.253197017959226e-06,-6.602626697068979e-06,1.2704333645678096e-06,-7.354875817831548e-07,8.046337699655024e-06,6.781526912870272e-06,1.1448475575998036e-05,-8.358896705836874e-06,4.694324110818675e-06,1.331672414146531e-05,1.6419640114422385e-05,0.0001193089608314547,0.0
ClosetDoorEnthusiast,-0.9999999859818509,1.9369357976019314e-05,-8.268518085163782e-06,-3.848808492287833e-06,1.4522785861379326e-06,1.48476200410259e-06,-1.8601089866626062e-07,1.8073219620950486e-05,-1.7578047545675273e-06,1.717138651539097e-05,1.538217240650015e-05,4.5802789740962816e-06,-1.2416551958210438e-06,-1.244655662948109e-06,-2.2627162985294248e-08,1.5796037417804051e-06,2.3806093091365675e-06,2.5136404531971766e-06,7.847398538003642e-07,8.411799126207664e-07,1.3855447317115249e-05,1.3377866107805424e-05,-1.1499505538501008e-06,5.158981265760914e-06,1.3384364451786498e-05,4.162544311569508e-08,5.1324374177529196e-08,1.2468933119772983e-05,0.00016105596594184998
