username,0,1,2,3,4,5,6,7,8,9
reimagining_life,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ansuz07,-0.9999999998518602,1.7212782735839005e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tbdabbholm,-0.99999999983929,-2.2110957886386187e-06,1.7791325011330098e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muyamable,-0.9999999998572707,-4.517767551431852e-07,-2.8090481974599774e-07,1.688714812766809e-05,0.0,0.0,0.0,0.0,0.0,0.0
ogld,-0.999999999829525,-1.7094734991273088e-06,-2.8539405505256824e-06,4.860166245830923e-07,1.815617369699861e-05,0.0,0.0,0.0,0.0,0.0
super-commenting,0.9999999998366699,1.0233040526102054e-06,1.2993446977121326e-06,-1.3802494769517517e-05,2.412901981216634e-06,1.1295753469316823e-05,0.0,0.0,0.0,0.0
MasterGrok,-0.9999999998417639,3.911855349239616e-07,2.9688609806143703e-07,2.822493915980359e-06,-5.96956244001583e-07,2.7612682711732005e-07,1.7545144432273262e-05,0.0,0.0,0.0
Apokolyptyk,0.9999999997804906,-9.108549006725916e-07,-5.979594033660055e-07,-3.6700809799514386e-06,1.3471200875018515e-06,-7.724553141882402e-07,-1.4534436740891997e-05,1.4515543813210245e-05,0.0,0.0
RustyRook,-0.9999999997909403,2.4321111976264743e-06,9.56574046955098e-07,8.292504981129955e-06,-4.911980561903831e-06,4.263099812084201e-06,9.369857161896996e-06,-3.901016164977453e-06,1.4043144771200242e-05,0.0
FuzzerPupper,-0.9999999998392902,-2.2111022386301258e-06,-2.5848298018519925e-06,-3.3896119268261607e-07,-3.1938357564940882e-06,2.611931366096652e-06,2.495371021030712e-07,-2.398190752277644e-07,-5.550267316452898e-07,1.7096311408566e-05
