username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
ILikeNiceDiscussions,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
incruente,-0.9999937681039328,0.0035304041267408283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElfmanLV,0.9999947578302775,-0.00323744712471442,5.69919255954175e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jark831,0.999993747895999,-0.0035335947133806928,4.274391497602847e-06,0.00013363773593373917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiiiiiine,0.9999937478959989,-0.0035335947134435878,4.274389549567203e-06,3.599773053553038e-06,0.00013358924294766428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
visarga,-0.9174873669554838,0.008456235471388967,0.012700985236917378,0.013544316218012734,0.013184260013572839,0.3970224619827431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aFunnyWorldWeLiveIn,0.9475998139730022,-0.0067938181409758795,-0.010196575993379437,-0.010874990552355674,-0.010585894539521986,-0.3188638002488043,0.00012938154962940614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elmley,0.9982155281513682,-0.05970740484173597,-9.372866552467215e-05,-7.926231953550266e-06,-7.715552720136566e-06,3.0365263413267935e-05,-1.5718744559329607e-05,0.0008803908249564641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uncledrewkrew,-0.9999999956314352,2.239672139320406e-06,-7.399048462227389e-07,-5.178616861380047e-07,-5.040959684931233e-07,-4.437711457246808e-06,-2.046262919185584e-06,-2.5469967000097856e-06,9.327741575832658e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asdf2602,0.999999955213891,4.599369678443492e-05,1.937480212556654e-05,1.3625322443844087e-05,1.3263114887235516e-05,-9.100971075049734e-05,-2.813862508118254e-06,-6.682088399871137e-06,-1.4537336674621045e-05,0.00027959467773026186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ieatbabies154,-0.999999995631435,2.239672107872929e-06,-7.399087422940262e-07,-5.178625169086077e-07,-5.0409513742095e-07,-4.437711331410008e-06,-2.0462637772855437e-06,-2.5469992221238128e-06,3.3877487434840117e-06,-4.673751472381818e-06,9.309863437250382e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muyamable,-0.9999986830816101,0.001620018722089071,-3.0425100547621293e-05,-1.461795706802595e-06,-1.4229351807698383e-06,-1.966195634846634e-06,-1.7355020189492978e-06,3.3002106694085437e-06,7.623484760103465e-07,-2.2409198272570673e-06,6.235693071830143e-07,9.176478911065797e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
birdbirdbirdbird,-0.9943860611605159,0.10580058315863307,0.00018163235772436064,2.2158251214879584e-05,2.156925824337085e-05,-4.707201301578507e-05,3.430431870486109e-05,-0.001580096763270746,7.739651965554525e-07,1.8595928113793082e-05,1.6808474593425738e-06,-5.029189380289164e-06,0.0002520983266475644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
super-commenting,-0.05283135582952373,-0.9984858056373656,-0.0017993777761355749,-0.0002360518349059331,-0.0002297772268638142,0.00044069684174372217,-0.00035857504119100685,0.015000334764840037,1.1649919549407759e-05,-0.0001526236769248761,3.5863160226519424e-06,7.984338644061996e-05,-0.002418245031617017,0.0006220483095617512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AnotherMasterMind,-0.9999999942323499,3.4130154935391652e-06,1.079708495694509e-06,-3.2125151523682674e-07,-3.1271168199859526e-07,-6.52626854496535e-06,-2.630279744739954e-06,-5.99220799244958e-06,4.686246960259347e-06,-5.203218016889189e-06,4.2635049842579234e-06,5.665156933492592e-07,1.6517400939826864e-06,2.8423348578125286e-06,0.00010657639568903682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thirteenthfox2,-0.9999999942323493,3.41301565077655e-06,1.0796987555162906e-06,-3.2125151523682674e-07,-3.127150062872884e-07,-6.5262681266279e-06,-2.630283177139791e-06,-5.99219878673338e-06,4.686254101685913e-06,-5.203218811055254e-06,4.26350975435163e-06,5.665169032065862e-07,1.6517422959469744e-06,2.842341059943378e-06,5.235520290526809e-06,0.00010644772655132185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MuaddibMcFly,-0.999999995631435,2.239672107872929e-06,-7.399092607160298e-07,-5.178625322327868e-07,-5.0409513742095e-07,-4.437711314802135e-06,-2.0462622622502672e-06,-2.5469993995273017e-06,3.3877499337217724e-06,-4.6737517474404195e-06,3.0363481944526647e-06,6.11999882845466e-07,6.126912783886884e-07,2.822558483826403e-06,3.5148455711205896e-06,3.3462251836136015e-06,9.287555184700029e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
