username,0,1,2,3,4,5,6,7,8,9,10
l2ddit,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cupcakesarethedevil,-0.9999999980901657,6.180346739001348e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goatforpope,-0.9999999979710863,-1.0222223543906713e-05,6.287554015204401e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gilleah,-0.9999999941849302,3.6484750006364794e-06,4.541137788221464e-06,0.00010768568250928316,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MenShouldntHaveCats,0.9999999897294674,2.0149535941805194e-05,2.4472419558711025e-05,-5.0012209992031225e-05,0.00013051797156839122,0.0,0.0,0.0,0.0,0.0,0.0
Pleberal,-0.9999999928272398,2.1111377048900102e-07,4.268746578131466e-07,-9.493318401076586e-06,3.2872035352290977e-06,0.00011934975826870732,0.0,0.0,0.0,0.0,0.0
ThomasEdmund84,-0.9999999976799989,-1.0571349335626879e-05,-1.2024292758699e-05,3.982490169571431e-06,1.554031780603575e-05,5.039641350440438e-07,6.42343318719826e-05,0.0,0.0,0.0,0.0
Literally_Herodotus,-0.9999999983351542,-8.924745636962113e-06,-1.056030654377363e-05,1.9144748631961034e-06,9.023990796880575e-06,-1.4870228008749304e-07,-1.5186655618691732e-05,5.3129711489630706e-05,0.0,0.0,0.0
Lurking_Chronicler,-0.999999997679999,-1.0571349335626879e-05,-1.2024290992951905e-05,3.982489138586626e-06,1.554031865666422e-05,5.039632048175894e-07,-1.8365898347958327e-05,-2.3610543129360926e-05,5.6844394968898204e-05,0.0,0.0
PandaDerZwote,-0.9999999905414734,1.8909989383752715e-06,2.3684283639442496e-06,-5.811615986609383e-06,-4.8244516505539814e-06,-1.8653738996776908e-05,5.452574837483053e-06,5.797710987166815e-06,1.0331205406330903e-05,0.00013539858798859047,0.0
Zeknichov,-0.9999999905414731,1.8910025311284665e-06,2.368430129691346e-06,-5.811614955624577e-06,-4.824455053067861e-06,-1.8653737136324e-05,5.452583479458397e-06,5.797721435398073e-06,1.0331219077971135e-05,-1.692680976485563e-05,0.00013433637191403834
