username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
Tullyswimmer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
logic_card,-0.9999999967258713,8.092130431351665e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sharkbait76,-0.9999999950811564,6.481995486504882e-07,9.918299753984759e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ankthar_LeMarre,-0.9999999807133041,2.4165373525040105e-05,9.05981658590142e-06,0.0001946980891762945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
silverdevilboy,-0.9999999990061231,2.101487149404232e-06,2.0785997544782476e-07,5.719889805191764e-06,4.416533871996932e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thatguy3444,0.9999999469199016,-3.2891937071192e-05,-8.725291133369118e-06,-0.0003134341246102892,1.2520798893999806e-05,8.126784780916699e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JohnLockeNJ,0.9999999897061255,-6.513395962041151e-06,-1.9725463251061154e-06,-1.4784851118075069e-05,-4.024769801953013e-05,1.2020130748557963e-05,0.0001362295162041951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoldenMarauder,-0.9999999970814909,5.358475303910888e-06,1.1943659666054316e-09,1.3679213235097428e-05,4.2063643452975735e-06,1.2916528092961175e-05,-1.9002932619560605e-06,7.370917713171539e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shadowarc72,-0.9999999950811566,6.481981766718306e-07,2.3277006158751294e-06,4.50693330147803e-06,-1.2785880361872287e-07,7.003226948543286e-06,-1.5689895711984455e-06,-2.0952225456987465e-06,9.877055723298983e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tew13til,-0.9999999967258713,4.392426715699137e-06,5.001483042519894e-07,9.475273433835796e-06,2.4119143138090654e-06,5.252454364613639e-06,-2.374281043920473e-06,2.68572590251324e-06,-2.919542985302956e-07,7.995368597052139e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
