,username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,meur123,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Zeiramsy,-0.9999999672570545,0.0002559021094087933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,awenonian,-0.21173787023130491,0.03881711392140451,0.9765553266337363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Anarchy_is_Order,-0.2929754545554852,-0.03794942001590969,-0.9553663939239728,0.0005271709088364482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,scouseking90,0.29301064773680613,0.03796412197735237,0.9553549055084631,-0.000642828694789625,0.0002775743690540538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,kabukistar,0.9999999510672385,-0.00023559421086825422,-1.4273004211927543e-05,-4.559770765381561e-05,-4.258669573484042e-05,0.00019561286224904266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ralph-j,0.04491756774292113,0.03964547969664436,0.9982035484239207,-0.0005196664931037665,1.9842814940204072e-05,2.5478043993598697e-05,0.00022992486652041808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Wrestlingisgood,-0.9116995043423781,-0.016302407099339826,-0.41053390117221444,0.0002778251060094921,-1.5350045825442654e-05,-7.086423028569594e-06,-6.63813487566511e-06,0.00028944128274059643,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,cacheflow,0.9116951755835551,0.016302622336794068,0.4105434740795806,-0.0002856934233152486,2.1161623700846974e-05,7.287058807734487e-06,1.3655213703572585e-05,-0.00027703854777628723,0.00016779396172580512,0.0,0.0,0.0,0.0,0.0,0.0
9,z3r0shade,0.7271546400721971,0.02723817599863305,0.6859329308439694,-0.0004304725029626137,1.5967684406579917e-05,1.5529628735209024e-05,7.145166794486157e-06,-8.066365546618832e-05,1.367575487109552e-05,0.00018173091631622497,0.0,0.0,0.0,0.0,0.0
10,Sheexthro,-0.7271500606089953,-0.027240207559866655,-0.6859376989140605,0.0004367897668033096,-7.604272057275925e-06,-7.762819389418164e-06,-7.988356381234475e-06,7.755324964520739e-05,-1.2843831116856935e-05,-0.00018013116527569324,6.374170916761616e-05,0.0,0.0,0.0,0.0
11,LaoTzusGymShoes,0.8741120880137395,0.01927829920142324,0.48534131986834556,-0.00034206539416944525,-9.388910379373741e-07,-1.8427089648150484e-05,2.0607148706084638e-05,-0.00012701274200569863,2.6643075947016396e-06,0.00010076853193085374,2.0491028851461907e-05,0.00025201045780346137,0.0,0.0,0.0
12,UnaffiliatedOpinion,-0.9999999679659296,2.6120915905755e-07,1.3652002645740796e-05,2.4332700623265638e-05,2.869699237878569e-05,2.7832485536634353e-05,-1.2459096572885889e-05,1.4519135788984622e-06,9.58570486046915e-07,-9.353276667498326e-06,-1.8823152465781614e-05,1.98477426872772e-05,0.00024636855622865917,0.0,0.0
13,notduddeman,0.9999999528293438,1.2217238151683456e-05,-3.692227892751061e-05,-9.984090402823368e-05,-9.704773497583068e-05,-0.00011251952408525962,4.945627818582622e-05,-5.863875984406112e-06,-3.2518107259234863e-06,3.064959038498934e-05,6.524559255714745e-05,-7.263104072380378e-05,-0.00017196904845660579,0.0001350769882901885,0.0
14,Gnoccistic,-0.8530545540479914,-0.02070315371826682,-0.5214107524394976,0.00031155417133167505,-2.5859989828266237e-05,-2.9465567869241674e-05,1.0645671482203632e-05,6.4835772221062e-05,-8.842000696836685e-06,-0.00012018030150888809,9.080860043028561e-06,-5.479779077308796e-05,1.7117784058982235e-05,-9.697483549501266e-05,6.52742359834305e-05
