username,0,1,2,3,4,5,6,7,8,9,10,11
SchruteAsaurusRex,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cdb03b,-0.999999999818731,1.9040442319180415e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radialomens,-0.9999999998914983,-1.058564899002041e-06,1.4692964309671112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elcuban27,0.9999999998564449,1.6393076724786187e-06,-3.3821647983397445e-06,1.6522233227012327e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z3r0shade,-0.9999999997635278,-1.0911477883992892e-06,1.7240876802646524e-06,-1.3815953294196377e-05,1.667036731866608e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tchaffee,-0.9999999997817254,-1.5855412402789006e-06,-1.3628506213593965e-06,1.3941024650310413e-06,1.3725970220166338e-07,2.0741648294112238e-05,0.0,0.0,0.0,0.0,0.0,0.0
rednax1206,-0.99999999985897,-1.733592805183254e-06,-1.537556460231286e-06,1.6057554803901925e-06,1.14895894341732e-07,-1.8206103627986315e-06,1.6455537912013246e-05,0.0,0.0,0.0,0.0,0.0
ddxme,-0.9999999996756573,-2.116960702837203e-06,-2.4966213189664e-06,3.502273473562334e-06,8.276074077242263e-07,-1.41135387056551e-06,-3.8133413105943187e-06,2.4667523294136355e-05,0.0,0.0,0.0,0.0
darwin2500,-0.9999999997623898,-1.4897750671471178e-06,-2.3978094918426732e-06,1.0076814978694552e-05,5.188416743222875e-06,-6.94599674127411e-07,-3.7765847179475223e-06,6.410478175049875e-06,1.6821134084167682e-05,0.0,0.0,0.0
Feathring,-0.99999999976239,-1.4897867288827644e-06,-2.39781704799677e-06,1.0076814978694552e-05,5.1883967636446806e-06,-6.946050267542075e-07,-3.7766049583619753e-06,6.410478175049875e-06,1.1798307615645897e-05,1.1989593194134475e-05,0.0,0.0
JamesDevitt,-0.9999999997817254,-1.5855412402789006e-06,-1.3628506213593965e-06,1.3941024650310413e-06,1.3725970220166338e-07,-1.5035582197619125e-06,-2.4611669294465596e-06,-1.6532327037240527e-06,-8.411055454478695e-07,-3.5238507694138916e-07,2.0453196740951915e-05,0.0
NotGuyFawkes,-0.9999999998187312,-1.757540179334023e-06,-1.4984306943181056e-06,1.7568181332027228e-06,2.4964482955018686e-07,-1.8080477477072604e-06,-2.704301534661795e-06,-2.715859271411568e-06,-2.831854666374538e-06,-1.1863677223138573e-06,-2.648295849443997e-06,1.7878940781631882e-05
