username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
weirds3xstuff,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DawgDatsAGreatPost,0.9434402258207772,0.3315426673947726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mysundayscheming,-0.9434387019592023,-0.33154699190798015,8.83306579580788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EighthScofflaw,-0.9434398665463675,-0.33154368704726533,-1.609544932845458e-06,4.227867919176065e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chris2315,-0.955770918531281,-0.29411213884026616,3.751687522668587e-06,1.4702327735378832e-06,3.256437663766221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SaintBio,-0.8871344453460162,-0.4615110634636434,-9.366871705297468e-06,-7.2180274773750634e-06,3.770727769090001e-05,0.00011233697635626795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nekozoshi,-0.9434387019592029,-0.3315469919079788,-4.775886714517169e-06,-3.544552879885923e-06,1.0886673877887728e-05,-1.1645396689051602e-05,8.6676392697981e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Huntingmoa,-0.9999999980424901,-2.5870896545989325e-06,3.263430583589015e-06,1.4329703400357006e-06,5.238621054226016e-07,1.0386211369431872e-06,3.6378711669158397e-06,6.229796361147703e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DrunkFishBreatheAir,0.9999999937044156,2.5472163985159514e-06,-6.276103208535871e-06,-2.9677073007862416e-06,-1.7180233259004362e-06,-2.699374279257477e-06,-7.009947620362589e-06,-6.44699409210033e-05,9.121805067782541e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hacksoncode,-0.9999999973257125,-2.5631645305261796e-06,4.123650314587844e-06,1.8886040327345887e-06,8.160065307210784e-07,1.2062886965536452e-06,4.566380562673692e-06,7.842654386088237e-07,-2.9357738025781342e-06,7.272707237568145e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GoIdfinch,0.8959453705786493,0.44416425218632605,-2.26728652990596e-06,1.4140817787826208e-08,-3.0136560661607256e-05,-7.581886169618878e-05,-8.836352031554431e-06,3.5871462675598538e-06,-5.442724839117653e-06,4.688659193264322e-06,5.669250421454581e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack126Guy,0.9557707333555495,0.2941127373152692,-1.6895789357050118e-06,-4.65819808241874e-08,-3.5174519509743966e-05,3.4152007982611704e-06,3.0599970392118835e-06,-1.1797137878593395e-06,3.1643127772994966e-07,-1.092655783901036e-06,5.3891280083307254e-06,4.143736569499345e-05,0.0,0.0,0.0,0.0,0.0,0.0
chasingstatues,-0.999999998863802,-2.004350039307854e-06,2.887181849987177e-06,1.3265046021679206e-06,4.0405186626004977e-07,2.715485013919728e-07,3.1413531829961225e-06,-9.101221715410863e-08,-2.0237283705469914e-06,4.0038996955971926e-07,3.470133211943331e-06,-1.902623845591821e-06,4.720436684652234e-05,0.0,0.0,0.0,0.0,0.0
Crell,-0.9999999973257124,-2.563164529521582e-06,4.123650629504255e-06,1.8886065070349742e-06,8.160099400386801e-07,1.2062915248291012e-06,4.56638076866079e-06,7.842653599966484e-07,-2.9357738025781342e-06,1.416787461552712e-06,5.8976052385782506e-06,-2.6473837554093912e-06,6.460335786211373e-08,7.242530884696604e-05,0.0,0.0,0.0,0.0
DashingLeech,-0.1488694328407202,0.9888567991764925,3.1346483115117506e-05,2.226264935981285e-05,-0.0001985380196772184,0.0001791744288223547,8.35919663618451e-05,-4.202903295276328e-05,-3.1637107343759196e-05,-2.7011859720087414e-05,0.0001251935371118887,-8.04211589801001e-05,-5.5678098102387655e-05,-3.9680524106966546e-05,0.00011130531251051788,0.0,0.0,0.0
PennyLisa,-0.9999999959785032,-1.9609209701475987e-06,4.14257372888676e-06,1.9568040361336134e-06,9.360486034805527e-07,2.1219392874823326e-06,4.697441589039346e-06,1.8155254897386443e-06,-2.8171945325582264e-06,2.328380309102877e-06,7.121726452268214e-06,-2.694660428335079e-06,1.204946231731556e-06,1.6130315895161512e-06,-1.2589577290334045e-05,8.805412106155865e-05,0.0,0.0
Jasader,0.9999999937569104,1.6376137866717634e-06,-5.304388245506712e-06,-2.5322256037925673e-06,-1.7439716421677568e-06,-3.023599721050297e-06,-5.988640206771481e-06,-3.309291098190247e-06,4.2472098729253776e-06,-4.278624344080347e-06,-1.0651367380864788e-05,3.112482080397572e-06,-3.096591254601941e-06,-3.22887519018139e-06,-5.591080888647921e-07,-9.112869153058351e-05,6.249559891610621e-05,0.0
bbgun09,-0.9999999980052701,-2.489932274724936e-06,3.682285306317243e-06,1.6793851392003647e-06,6.290566000262251e-07,8.249880064932675e-07,4.055967548079045e-06,3.5459677049709674e-07,-2.515299186570481e-06,8.949214131625175e-07,4.769112127286956e-06,-2.385032353743836e-06,-3.759685877271854e-07,4.059524856999072e-07,-2.7348864258931097e-05,-2.897729460089623e-06,-7.595122111422213e-06,5.567151808740493e-05
