username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
KanoDoMario,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UNRThrowAway,-0.9999999968754909,7.905073316446682e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klarkson1273,-0.9999999914060229,6.947923321212067e-06,0.00013091860324162546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwerty_Resident,-0.9999999960593356,-5.939713933384486e-06,7.732381357884075e-06,8.823978111322521e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gourok,-0.9999999960593356,-5.939713933384486e-06,7.732381357884075e-06,-4.084079518608536e-06,8.814521718876661e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tit_wrangler,-0.9999999943742874,-7.704917059404136e-06,2.757169757828308e-06,-1.7836927118299194e-06,-1.8682509169901044e-06,0.00010572504763317117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bohknows,-0.9999999923343431,-2.294292170749616e-06,-1.830435715154869e-06,4.10234212873645e-06,4.296818911030494e-06,-1.3063294588673896e-08,0.0001236422559283348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
figsbar,-0.999999996717321,1.3482597516728935e-05,3.956030915110174e-06,-5.0502124855105735e-06,-5.2896250128365634e-06,-5.4520563055327796e-06,-8.04705747294188e-07,7.927212791486613e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alnicoblue,-0.9999999914060228,6.947924725655746e-06,3.121146504818787e-06,1.1198789804035034e-05,1.1729683603244802e-05,3.7289993484541595e-06,-2.6707515125803868e-06,8.103154258296283e-06,0.00012953857159017792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OFGhost,-0.9999999967756195,1.4599023503305146e-06,8.439495475388655e-06,-5.0573665469082536e-06,-5.297115488823827e-06,-2.9802845998952217e-06,3.0007485999599917e-06,4.654142308688043e-07,9.361477373493524e-06,7.884179111131796e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nekozoshi,-0.9999999943742874,-7.704917059404136e-06,2.757169757828308e-06,-1.7836914536411404e-06,-1.8682496574515158e-06,-1.466863067946886e-06,-1.1326510607133287e-08,-7.372394463703706e-06,3.5466497313979705e-06,-4.429113293461686e-06,0.00010530472862969554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burflax,-0.9999999914060231,6.947921916768389e-06,3.1211422646917266e-06,1.1198788545846255e-05,1.1729682343706213e-05,3.72899619814196e-06,-2.670753308443809e-06,8.103150056732428e-06,3.7962863968605635e-07,1.5336008276150378e-05,4.995087651172041e-06,0.00012852996825294267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LilSebs_MrsF,-0.999999996717321,1.3482597516728935e-05,3.956029319782032e-06,-5.050213090495926e-06,-5.289626272375152e-06,-5.452056607704375e-06,-8.047055538846063e-07,1.1764729503333729e-05,4.222855344818713e-06,-1.0290182494728316e-07,-4.872753397312353e-06,4.445168413829283e-06,7.800202095987231e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
