username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Chazzyphant,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worldeditor,-0.9998586105240335,0.016815438172976736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leiphos,-0.9998586105240335,-0.016812245869219693,0.00032764276592596225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PreacherJudge,-0.9999999918543335,-2.900125403924249e-09,-2.97655111415059e-07,0.00012763715854921211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mikodite,-0.999999981935652,4.321536977287754e-10,4.435432982035484e-08,2.423991609529021e-07,0.00019007534025380216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weirds3xstuff,0.9999999846902584,6.316763411005216e-09,6.483222131359733e-07,-5.998016866361423e-07,1.4034490604181498e-07,0.0001749819512278052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TotlaBullfish,-0.9999999918571079,-3.892902360453797e-09,-3.995478123148627e-07,3.64336790009486e-07,-1.8212239371080042e-07,-5.37622264582175e-07,0.00012761335959144391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ericoahu,0.9999999816945896,4.652594677527865e-09,4.775192786951397e-07,-4.895588874674629e-07,-2.75406076977672e-07,7.562026782715431e-07,-0.00012735151706552247,0.00014279809556188268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Madplato,-0.9999999924227713,-4.735850981624786e-09,-4.860651181254459e-07,4.069670326875222e-07,-4.3130838789978657e-07,-9.417196446869941e-05,1.3891124793628903e-07,3.249078358960265e-08,7.928108304240736e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PennyLisa,-0.9999999796863005,-3.739337064895488e-10,-3.83786804011063e-08,4.018950689034857e-08,0.00010239625896878637,2.8998526918310746e-07,-4.235753424421168e-07,-3.18731554851858e-07,-6.316281704895751e-07,0.00017361347191466867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
