username,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
donaldsw,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hq3473,-0.9999999912862996,0.00013201288098034026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VernonHines,0.9999999876416277,-0.00010559113192607622,0.00011647857068416524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DoctorMoneyStacks,-0.9999999840484213,9.324211596815948e-06,7.25242932018795e-06,0.0001782235074961364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sarcasmandsocialism,0.9999999866808437,-0.00010197052143861576,-2.9477225275408427e-05,6.589266363167297e-06,0.00012380630024512362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PuffyPanda200,0.9999999866808433,-0.00010197052312060772,-2.947722622856489e-05,6.5892651172900945e-06,-4.3247254479505815e-05,0.00011600722044962893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ardonpitt,-0.9999999885971065,6.2914589826902915e-06,6.280061988554433e-07,4.639297856200939e-07,2.2187189198683413e-08,3.1949464275096144e-08,0.00015088271408750595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
conventionistG,-0.999999993236928,6.619602999885007e-06,-1.3905525294244012e-05,4.366017183604191e-06,-2.1365749365197745e-05,-3.076726040566581e-05,-2.272586681408393e-06,0.00010891104076947109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox-mcleod,-0.9999999840484213,9.324211596815948e-06,7.25242932018795e-06,-1.1431440371256147e-06,9.546321074817129e-06,1.3746960420854311e-05,5.471966280675734e-07,1.2958117755734963e-05,0.00017695758927574066,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mad_poet_navarth,-0.9999999885971066,6.29145814169431e-06,6.280081051683695e-07,4.6392853974289146e-07,2.2188085940628232e-08,3.194850724585234e-08,-1.1975940176103448e-06,-3.173376691592179e-06,7.026466115167794e-07,0.0001508429477871539,0.0,0.0,0.0,0.0,0.0,0.0
icyMG,-0.2500442663332108,4.95547950952813e-05,-3.156676299197432e-05,-1.1394786663960906e-06,-4.944057402564811e-05,-7.1195772658288e-05,-2.2950659386297522e-06,-3.849303541539958e-05,9.868858663236665e-06,-3.1696615936142575e-06,0.9682343994678246,0.0,0.0,0.0,0.0,0.0
OktoberForever,-0.2500442663332089,4.955479593627729e-05,-3.156676251539609e-05,-1.1394827154969984e-06,-4.944056999030936e-05,-7.119576691611254e-05,-2.2950674102668865e-06,-3.849303643478478e-05,9.868857094749224e-06,-3.169668217727196e-06,-0.968234375467289,0.0002155836033624375,0.0,0.0,0.0,0.0
Borgphoenix,-0.9999999840484213,9.324211596815948e-06,7.252431226500876e-06,-1.1431446600642158e-06,9.546321074817129e-06,1.3746962334912799e-05,5.471958922490064e-07,1.2958119794505352e-05,-3.6922156689193806e-06,8.41491979141988e-07,1.8440528813578239e-09,1.6564104919627974e-05,0.0001761399390381827,0.0,0.0,0.0
MutinyGMV,-0.083341737183671,1.3348309144372409e-05,-6.470567583669729e-06,-4.7307242186808847e-07,-1.0384898991981182e-05,-1.4954535972938428e-05,-4.3023210436497815e-07,-7.073318014269461e-06,1.761751756669854e-06,-5.907656243459097e-07,2.9121840950617654e-10,7.888313714510019e-06,1.067871559421149e-06,0.9965210254552679,0.0,0.0
_busch,-0.08334173718367184,1.334830672650896e-05,-6.47056972827177e-06,-4.7307475788784303e-07,-1.0384897646868265e-05,-1.4954536331824394e-05,-4.3022667770304664e-07,-7.073319670770401e-06,1.7617555994640813e-06,-5.907758365200236e-07,1.46516499905025e-09,7.888312700633478e-06,1.067871244267462e-06,-0.996521018099384,0.00012108090624214293,0.0
Mdcastle,-0.9999999840484213,9.324209914823985e-06,7.252427413875024e-06,-1.1431446600642158e-06,9.54631928133324e-06,1.3746958506795824e-05,5.471966280675734e-07,1.2958116736349769e-05,-3.6922156689193806e-06,8.414912431294392e-07,1.8440520213726086e-09,1.656410028476379e-05,-5.348448641575051e-06,1.9448279400572722e-10,3.2012677517841604e-06,0.00017602961298708418
