username,0,1,2,3,4,5,6,7,8,9,10,11,12
Ramza_Claus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TheRadBaron,-0.9999999962018126,8.715718480121417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metamatic,-0.9999999969360455,-5.906955592406051e-06,7.805777975222435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masterFurgison,0.9999999963713204,-2.7979853769591697e-05,-3.415111015914558e-06,8.039169075642532e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FOR_PRUSSIA,-0.9999999970904984,1.6728707286347162e-05,-2.401242043693282e-06,-4.3197040743548976e-05,6.0559089078006765e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The_DongLover,-0.9999999988991298,-1.2125158174835558e-06,-5.766269283858362e-06,7.681457602977266e-06,-7.500057995938394e-06,4.52964087657156e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heelspider,-0.9999999974331583,-5.732469415463803e-07,-1.190166195446615e-05,4.129226043066685e-06,-5.861585423452667e-06,-2.7823821285012503e-05,6.454557731443291e-05,0.0,0.0,0.0,0.0,0.0,0.0
Squiddlydiddly56,0.999999997248574,7.277036201988188e-07,1.2233513727223159e-05,-2.8215077733322886e-06,5.03624428535637e-06,2.765202454800291e-05,-6.369428837758645e-05,2.2310133791232692e-05,0.0,0.0,0.0,0.0,0.0
One_Winged_Rook,0.9999999967259583,9.770074378210476e-07,1.4977382958579252e-05,1.9351778810450653e-07,4.488472244818408e-06,2.6727571727500642e-05,-4.678477197465909e-05,-3.0655457541878442e-06,5.822411507262868e-05,0.0,0.0,0.0,0.0
Crayshack,-0.9999999950523878,8.5565688049287e-06,-6.840556530866282e-06,-1.3663637147876201e-05,3.0968281825401496e-06,-5.0711091812880765e-06,-7.975217355161409e-06,-8.328414224808844e-07,4.304636054195178e-06,9.731591526162865e-05,0.0,0.0,0.0
Transkar,0.999999995543095,-4.595042561678271e-06,1.563977086803362e-05,1.681800181418638e-05,-1.7238213346588925e-06,8.386615614736943e-06,1.3266916614310474e-05,5.531375617643311e-07,-8.767318023354061e-06,-5.844044837957577e-05,6.799611871776815e-05,0.0,0.0
bguy74,-0.9999999960539068,8.033776480385698e-06,6.565095053089524e-06,-1.6036847424881898e-05,1.611806836250362e-05,-1.3540924593973296e-05,-9.448770884109976e-06,-3.824429150480364e-06,-5.469902664578715e-06,1.0017109932368185e-05,-1.419555856748798e-05,8.153853929582271e-05,0.0
wolfram184,0.9999999966047751,-4.420226466136616e-06,-2.3063612156902167e-06,1.4619350722053128e-05,-1.4658304786616334e-05,2.259991320539202e-05,1.9829616789825617e-05,4.835348083871666e-06,3.0756553073261833e-06,-3.5454450310893492e-06,8.673242209496796e-06,-7.151339571657785e-06,7.253450052207467e-05
